Tue. Aug. 30, 2016             LANDSAT 5                 Time: 23:50
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19333577            Path/Row: 014 / 032

L0R Reference Image: L51EDC1011195150100_HDF.162440435
Acquisition Date: Jul 14, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       1.572    -4.906     2.458    -4.526
0140320002_01   40.844760  -73.788842   -27.396       1.439    -0.323     1.467    -0.052
0140320003_01   40.948134  -74.065321   -15.668      -0.026     1.976    -0.394     1.935
0140320005_01   39.597576  -74.342643   -30.984      -2.150    -2.874    -1.582    -3.223
0140320006_01   40.864834  -73.649647    -0.304       0.690    -0.009     0.673     0.118
0140320007_01   40.869077  -74.151518    -4.729       2.096     2.322     1.626     2.668
0140320008_01   40.462764  -74.295361    -1.381       2.522    -1.043     2.666    -0.557
0140320010_01   40.600232  -75.454805    41.220       4.361    -4.982     5.209    -4.086
0140320011_01   40.627047  -74.167714   -25.800       4.377    -2.778     4.809    -1.919
0140320012_01   39.992673  -75.274339    41.869       0.453     1.774     0.117     1.827
0140320013_01   40.876867  -74.352585    25.543      -0.555     1.114    -0.753     0.991
0140320014_01   41.034599  -75.065550   265.632       2.751    -2.299     3.128    -1.750
0140320015_01   40.732542  -73.708102    -4.949      -1.685     1.222    -1.887     0.887
0140320016_01   39.989676  -74.158986   -27.474      -2.638     0.354    -2.661    -0.143
0140320017_01   40.909079  -74.530737   203.203       1.361    -1.151     1.548    -0.879
0140320019_01   41.002140  -74.203678   125.341      -0.259     1.441    -0.524     1.367
0140320020_01   40.098094  -74.091837   -27.866      -0.316     0.903    -0.483     0.827
0140320021_01   40.155362  -75.136205    49.267       3.852     2.957     3.235     3.618
0140320022_01   40.260332  -74.001827   -22.602      -3.781    -2.255    -3.301    -2.917
0140320023_01   40.207880  -74.441131    51.843      -2.786    -3.761    -2.042    -4.211
