==============================================================================
==============================================================================
Wed. Aug. 31 2016                  LANDSAT 5                       Time: 04:54
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501608303549_09022                          Path / Row - 14 / 32
Reference Image: L51EDC1011195150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320092   41.25163    -75.70386    -0.06     -0.02     0.07     1 
0140320094   41.25207    -75.62795     0.07      0.05     0.08     1 
0140320166   41.22572    -75.74152    -0.01     -0.05     0.05     1 
0140320168   41.22619    -75.66564    -0.10      0.05     0.11     1 
0140320172   41.22696    -75.51389    -0.11     -0.06     0.12     1 
0140320241   41.20005    -75.74123    -0.22     -0.08     0.24     1 
0140320242   41.20029    -75.70331    -0.01     -0.11     0.11     1 
0140320244   41.20073    -75.62746     0.03      0.06     0.07     1 
0140320246   41.20112    -75.55161    -0.04     -0.02     0.04     1 
0140320250   41.20174    -75.39991    -0.14     -0.05     0.15     1 
0140320251   41.20187    -75.36198     0.03     -0.18     0.19     1 
0140320253   41.20208    -75.28613     0.12     -0.00     0.12     1 
0140320254   41.20217    -75.24820    -0.03      0.02     0.04     1 
0140320316   41.17438    -75.74094     0.06     -0.04     0.07     1 
0140320317   41.17462    -75.70303     0.04     -0.00     0.04     1 
0140320320   41.17526    -75.58930    -0.09     -0.07     0.12     1 
0140320321   41.17545    -75.55139    -0.03      0.05     0.06     1 
0140320325   41.17607    -75.39975    -0.14     -0.05     0.15     1 
0140320326   41.17620    -75.36184    -0.02     -0.05     0.06     1 
0140320327   41.17631    -75.32393     0.23      0.10     0.25     1 
0140320328   41.17641    -75.28601     0.03     -0.03     0.04     1 
0140320329   41.17650    -75.24810    -0.07      0.03     0.07     1 
0140320330   41.17657    -75.21019    -0.06     -0.02     0.06     1 
0140320331   41.17664    -75.17228    -0.03     -0.01     0.03     1 
0140320333   41.17672    -75.09645    -0.14     -0.02     0.14     1 
0140320334   41.17675    -75.05854    -0.14      0.02     0.14     1 
0140320391   41.14871    -75.74065    -0.10     -0.07     0.12     1 
0140320393   41.14917    -75.66486     0.01      0.03     0.03     1 
0140320396   41.14977    -75.55118     0.04     -0.06     0.07     1 
0140320402   41.15064    -75.32380     0.02      0.25     0.25     1 
0140320403   41.15074    -75.28590     0.08     -0.11     0.14     1 
0140320404   41.15083    -75.24801     0.07      0.01     0.07     1 
0140320405   41.15090    -75.21011    -0.12     -0.00     0.12     1 
0140320407   41.15101    -75.13431    -0.21      0.03     0.21     1 
0140320408   41.15105    -75.09641     0.01     -0.02     0.03     1 
0140320409   41.15108    -75.05852     0.12     -0.02     0.12     1 
0140320410   41.15109    -75.02062    -0.24     -0.01     0.24     1 
0140320411   41.15109    -74.98272     0.01      0.03     0.04     1 
0140320412   41.15108    -74.94482    -0.16      0.03     0.16     1 
0140320414   41.15102    -74.86902    -0.05     -0.04     0.06     1 
0140320466   41.12304    -75.74036    -0.01      0.01     0.02     1 
0140320467   41.12328    -75.70248    -0.08     -0.27     0.28     1 
0140320469   41.12371    -75.62672    -0.04     -0.10     0.10     1 
0140320470   41.12391    -75.58885    -0.08     -0.09     0.12     1 
0140320471   41.12410    -75.55096     0.02     -0.18     0.18     1 
0140320474   41.12459    -75.43732    -0.20     -0.05     0.20     1 
0140320477   41.12497    -75.32367    -0.14      0.03     0.14     1 
0140320478   41.12506    -75.28579    -0.03      0.01     0.03     1 
0140320480   41.12523    -75.21003     0.09     -0.06     0.10     1 
0140320481   41.12529    -75.17214    -0.04     -0.17     0.17     1 
0140320482   41.12534    -75.13426    -0.06     -0.09     0.11     1 
0140320483   41.12538    -75.09638    -0.06      0.02     0.06     1 
0140320484   41.12541    -75.05849    -0.05      0.03     0.06     1 
0140320485   41.12542    -75.02061    -0.08     -0.04     0.09     1 
