Tue. Aug. 30, 2016             LANDSAT 5                 Time: 21:41
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19331020            Path/Row: 014 / 032

L0R Reference Image: L51GNC1011211150100_HDF.162440219
Acquisition Date: Jul 30, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320002_01   40.844760  -73.788842   -27.396       1.657    -2.107     2.015    -1.764
0140320003_01   40.948134  -74.065321   -15.668      -0.801     2.063    -1.169     1.878
0140320005_01   39.597576  -74.342643   -30.984      -2.628    -2.323    -2.150    -2.770
0140320006_01   40.864834  -73.649647    -0.304       1.010     1.238     0.762     1.403
0140320007_01   40.869077  -74.151518    -4.729       0.446     3.072    -0.131     3.100
0140320008_01   40.462764  -74.295361    -1.381       2.652    -0.868     2.764    -0.362
0140320009_01   40.348343  -74.123108   -16.496      -5.099     1.519    -5.290     0.546
0140320010_01   40.600232  -75.454805    41.220       4.604    -4.317     5.322    -3.389
0140320011_01   40.627047  -74.167714   -25.800       4.210    -2.653     4.624    -1.827
0140320012_01   39.992673  -75.274339    41.869       0.636     0.969     0.445     1.070
0140320013_01   40.876867  -74.352585    25.543      -0.537     1.064    -0.724     0.946
0140320014_01   41.034599  -75.065550   265.632       0.778    -1.046     0.957    -0.883
0140320015_01   40.732542  -73.708102    -4.949      -1.546     1.725    -1.839     1.408
0140320016_01   39.989676  -74.158986   -27.474      -3.062     0.453    -3.093    -0.124
0140320017_01   40.909079  -74.530737   203.203       0.934    -1.069     1.114    -0.877
0140320018_01   40.362150  -74.024706   -18.215      -4.690    -1.854    -4.265    -2.691
0140320019_01   41.002140  -74.203678   125.341      -2.930     2.278    -3.298     1.696
0140320020_01   40.098094  -74.091837   -27.866      -1.377     1.437    -1.620     1.156
0140320021_01   40.155362  -75.136205    49.267       1.359     1.266     1.100     1.495
0140320023_01   40.207880  -74.441131    51.843      -1.894    -4.679    -0.994    -4.946
