Tue. Aug. 30, 2016             LANDSAT 5                 Time: 19:00
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19327645            Path/Row: 014 / 032

L0R Reference Image: L51GNC1011243150100_HDF.162432350
Acquisition Date: Aug 31, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455       0.305     0.745     0.162     0.789
0140320002_01   40.844760  -73.788842   -27.396      -0.270    -0.200    -0.231    -0.248
0140320003_01   40.948134  -74.065321   -15.668       1.968     1.884     1.582     2.215
0140320004_01   40.978516  -73.787468    47.304      -2.291    -0.867    -2.093    -1.277
0140320005_01   39.597576  -74.342643   -30.984      -2.350    -2.477    -1.850    -2.871
0140320006_01   40.864834  -73.649647    -0.304       1.407    -3.087     1.949    -2.772
0140320007_01   40.869077  -74.151518    -4.729       1.274     0.289     1.195     0.520
0140320008_01   40.462764  -74.295361    -1.381       4.774    -1.799     5.020    -0.881
0140320009_01   40.348343  -74.123108   -16.496      -2.912    -1.288    -2.624    -1.807
0140320010_01   40.600232  -75.454805    41.220       2.394    -3.706     3.041    -3.196
0140320011_01   40.627047  -74.167714   -25.800       4.320    -2.082     4.626    -1.244
0140320012_01   39.992673  -75.274339    41.869      -0.413    -1.479    -0.130    -1.528
0140320013_01   40.876867  -74.352585    25.543      -1.083    -0.409    -0.989    -0.602
0140320014_01   41.034599  -75.065550   265.632       1.508    -2.481     1.941    -2.157
0140320015_01   40.732542  -73.708102    -4.949       0.351     1.951    -0.020     1.980
0140320016_01   39.989676  -74.158986   -27.474      -1.681    -0.124    -1.631    -0.435
0140320017_01   40.909079  -74.530737   203.203       1.972    -2.081     2.320    -1.678
0140320018_01   40.362150  -74.024706   -18.215      -4.074    -3.522    -3.351    -4.217
0140320019_01   41.002140  -74.203678   125.341      -0.210     0.182    -0.242     0.140
0140320020_01   40.098094  -74.091837   -27.866      -2.184    -1.251    -1.915    -1.636
