==============================================================================
==============================================================================
Wed. Aug. 31 2016                  LANDSAT 5                       Time: 00:02
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501608303549_05420                          Path / Row - 14 / 32
Reference Image: L51GNC1011243150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320092   41.24623    -75.70380     0.01     -0.06     0.07     1 
0140320093   41.24645    -75.66585    -0.07     -0.13     0.15     1 
0140320166   41.22032    -75.74146    -0.02     -0.16     0.17     1 
0140320168   41.22078    -75.66559     0.03     -0.05     0.06     1 
0140320170   41.22120    -75.58972     0.13      0.00     0.13     1 
0140320171   41.22138    -75.55178     0.07     -0.09     0.11     1 
0140320172   41.22156    -75.51384     0.05     -0.07     0.09     1 
0140320242   41.19489    -75.70325     0.06      0.07     0.09     1 
0140320243   41.19511    -75.66533     0.12     -0.06     0.14     1 
0140320244   41.19532    -75.62741    -0.06      0.02     0.06     1 
0140320245   41.19553    -75.58949     0.10      0.01     0.10     1 
0140320246   41.19571    -75.55156    -0.00     -0.05     0.05     1 
0140320247   41.19589    -75.51364     0.05     -0.04     0.07     1 
0140320253   41.19668    -75.28610     0.11     -0.06     0.12     1 
0140320317   41.16922    -75.70297     0.18     -0.04     0.19     1 
0140320318   41.16944    -75.66507     0.18      0.04     0.19     1 
0140320319   41.16965    -75.62716    -0.04     -0.04     0.06     1 
0140320320   41.16985    -75.58926    -0.01     -0.02     0.02     1 
0140320321   41.17004    -75.55135     0.06     -0.13     0.15     1 
0140320322   41.17022    -75.51344    -0.07     -0.11     0.14     1 
0140320328   41.17101    -75.28599     0.07     -0.04     0.08     1 
0140320329   41.17109    -75.24808     0.02      0.02     0.03     1 
0140320393   41.14377    -75.66481     0.01     -0.05     0.05     1 
0140320394   41.14398    -75.62692    -0.00     -0.05     0.05     1 
0140320395   41.14418    -75.58903    -0.01     -0.00     0.01     1 
0140320396   41.14437    -75.55113     0.02     -0.00     0.02     1 
0140320397   41.14455    -75.51324     0.04     -0.06     0.08     1 
0140320398   41.14471    -75.47535    -0.05      0.05     0.07     1 
0140320402   41.14523    -75.32377     0.04      0.07     0.08     1 
0140320403   41.14533    -75.28588     0.03     -0.19     0.19     1 
0140320404   41.14542    -75.24798     0.03     -0.02     0.04     1 
0140320405   41.14550    -75.21009     0.05     -0.08     0.10     1 
0140320409   41.14567    -75.05851     0.12      0.04     0.12     1 
0140320410   41.14569    -75.02062    -0.09      0.17     0.19     1 
0140320411   41.14569    -74.98272     0.10      0.04     0.11     1 
0140320412   41.14567    -74.94483    -0.11      0.15     0.18     1 
0140320413   41.14565    -74.90693     0.02     -0.12     0.12     1 
0140320414   41.14561    -74.86904    -0.04     -0.10     0.11     1 
0140320465   41.11739    -75.77818     0.03      0.06     0.07     1 
0140320468   41.11810    -75.66455    -0.07     -0.09     0.11     1 
0140320469   41.11831    -75.62667     0.04     -0.04     0.05     1 
0140320470   41.11851    -75.58880     0.04     -0.00     0.04     1 
0140320471   41.11870    -75.55092     0.07     -0.02     0.07     1 
0140320472   41.11887    -75.51304    -0.03      0.03     0.04     1 
0140320473   41.11903    -75.47516     0.05     -0.06     0.08     1 
0140320474   41.11919    -75.43728    -0.01     -0.00     0.01     1 
0140320475   41.11932    -75.39941    -0.11     -0.02     0.11     1 
0140320477   41.11956    -75.32365     0.10     -0.03     0.11     1 
0140320478   41.11966    -75.28577     0.01     -0.04     0.04     1 
0140320479   41.11975    -75.24789    -0.03     -0.03     0.04     1 
0140320481   41.11989    -75.17213    -0.03      0.02     0.04     1 
0140320482   41.11994    -75.13425     0.03      0.14     0.15     1 
0140320483   41.11997    -75.09637     0.02      0.00     0.02     1 
0140320484   41.12000    -75.05849     0.01      0.04     0.05     1 
0140320485   41.12001    -75.02061     0.05     -0.02     0.05     1 
