Tue. Aug. 30, 2016             LANDSAT 5                 Time: 17:21
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L19325734            Path/Row: 014 / 032

L0R Reference Image: L51GNC1011259150100_HDF.162432220
Acquisition Date: Sep 16, 2011

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
014   032   09-23-1999


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320001_01   39.805434  -75.427445   -32.455      -5.453     0.899    -5.522    -0.129
0140320002_01   40.844760  -73.788842   -27.396      -2.714     3.000    -3.220     2.444
0140320003_01   40.948134  -74.065321   -15.668       0.359     0.868     0.193     0.918
0140320004_01   40.978516  -73.787468    47.304      -1.603    -1.147    -1.363    -1.423
0140320005_01   39.597576  -74.342643   -30.984      -3.006     0.159    -2.981    -0.404
0140320006_01   40.864834  -73.649647    -0.304      -4.968    -4.534    -4.042    -5.373
0140320007_01   40.869077  -74.151518    -4.729       0.828     1.040     0.622     1.175
0140320008_01   40.462764  -74.295361    -1.381       0.623    -6.246     1.768    -6.019
0140320009_01   40.348343  -74.123108   -16.496      -0.955    -0.987    -0.755    -1.146
0140320010_01   40.600232  -75.454805    41.220       1.496    -3.513     2.120    -3.174
0140320011_01   40.627047  -74.167714   -25.800       0.234    -2.128     0.623    -2.047
0140320012_01   39.992673  -75.274339    41.869       1.462    -0.139     1.462     0.134
0140320013_01   40.876867  -74.352585    25.543       1.742    -2.125     2.104    -1.766
0140320014_01   41.034599  -75.065550   265.632      -1.870    -6.431    -0.648    -6.659
0140320015_01   40.732542  -73.708102    -4.949      -2.376     0.907    -2.501     0.451
0140320016_01   39.989676  -74.158986   -27.474      -2.624    -0.687    -2.449    -1.163
0140320017_01   40.909079  -74.530737   203.203       2.693    -1.069     2.842    -0.552
0140320019_01   41.002140  -74.203678   125.341       1.585     0.654     1.436     0.935
0140320020_01   40.098094  -74.091837   -27.866      -2.080    -1.416    -1.780    -1.777
0140320021_01   40.155362  -75.136205    49.267      -0.168     0.552    -0.267     0.511
