==============================================================================
==============================================================================
Tue. Aug. 30 2016                  LANDSAT 5                       Time: 22:23
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501608303549_03929                          Path / Row - 14 / 32
Reference Image: L51GNC1011259150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0140320175   41.21390    -75.39998     0.20      0.02     0.20     1 
0140320250   41.18823    -75.39982     0.01      0.17     0.17     1 
0140320251   41.18836    -75.36190     0.10      0.15     0.18     1 
0140320254   41.18866    -75.24815    -0.02      0.10     0.10     1 
0140320255   41.18873    -75.21023     0.00     -0.06     0.06     1 
0140320325   41.16256    -75.39967    -0.05      0.02     0.05     1 
0140320326   41.16269    -75.36176     0.03     -0.00     0.03     1 
0140320327   41.16280    -75.32386     0.10      0.11     0.15     1 
0140320328   41.16290    -75.28596     0.06      0.05     0.07     1 
0140320329   41.16299    -75.24805    -0.01      0.06     0.06     1 
0140320330   41.16306    -75.21015    -0.03      0.07     0.08     1 
0140320331   41.16313    -75.17224     0.09      0.05     0.10     1 
0140320332   41.16318    -75.13434     0.09      0.06     0.11     1 
0140320333   41.16321    -75.09643     0.14     -0.07     0.15     1 
0140320334   41.16324    -75.05853    -0.03     -0.03     0.04     1 
0140320397   41.13644    -75.51318     0.05      0.11     0.11     1 
0140320399   41.13675    -75.43740     0.03      0.05     0.06     1 
0140320400   41.13689    -75.39951     0.11     -0.04     0.11     1 
0140320401   41.13701    -75.36162     0.05     -0.09     0.10     1 
0140320402   41.13713    -75.32373    -0.01      0.03     0.03     1 
0140320403   41.13723    -75.28584     0.02     -0.01     0.02     1 
0140320404   41.13731    -75.24795    -0.02     -0.00     0.02     1 
0140320405   41.13739    -75.21006    -0.01     -0.05     0.05     1 
0140320407   41.13750    -75.13428    -0.04      0.08     0.09     1 
0140320408   41.13754    -75.09639     0.03      0.05     0.06     1 
0140320409   41.13757    -75.05850     0.10      0.07     0.12     1 
0140320410   41.13758    -75.02061     0.05      0.06     0.08     1 
0140320411   41.13758    -74.98272     0.05      0.13     0.14     1 
0140320412   41.13757    -74.94483    -0.11      0.15     0.19     1 
0140320413   41.13754    -74.90694    -0.08     -0.02     0.08     1 
0140320471   41.11059    -75.55085     0.02      0.01     0.02     1 
0140320472   41.11077    -75.51298     0.05      0.07     0.09     1 
0140320473   41.11093    -75.47510     0.03      0.05     0.05     1 
0140320474   41.11108    -75.43723     0.02      0.05     0.05     1 
0140320475   41.11122    -75.39936     0.15      0.00     0.15     1 
0140320476   41.11134    -75.36148     0.05      0.04     0.06     1 
0140320477   41.11145    -75.32361     0.09      0.01     0.09     1 
0140320478   41.11155    -75.28573     0.05      0.06     0.08     1 
0140320479   41.11164    -75.24786    -0.05      0.04     0.06     1 
0140320480   41.11172    -75.20998    -0.06      0.01     0.06     1 
0140320481   41.11178    -75.17211    -0.11      0.05     0.12     1 
0140320482   41.11183    -75.13423     0.01     -0.00     0.01     1 
0140320483   41.11187    -75.09636     0.02      0.08     0.09     1 
0140320484   41.11189    -75.05848     0.02      0.03     0.03     1 
0140320485   41.11191    -75.02061    -0.01      0.06     0.06     1 
0140320486   41.11191    -74.98273     0.01     -0.01     0.02     1 
0140320487   41.11189    -74.94485    -0.05      0.05     0.07     1 
0140320489   41.11183    -74.86910     0.05      0.09     0.10     1 
0140320490   41.11178    -74.83123     0.16      0.05     0.16     1 
0140320491   41.11172    -74.79335    -0.09     -0.05     0.11     1 
0140320492   41.11165    -74.75548    -0.04     -0.01     0.04     1 
0140320493   41.11156    -74.71760     0.10     -0.05     0.11     1 
0140320494   41.11146    -74.67973    -0.00     -0.06     0.06     1 
0140320546   41.08492    -75.55064     0.01      0.06     0.06     1 
0140320547   41.08509    -75.51278     0.01      0.10     0.10     1 
