index,name,holc_id,holc_grade,geometry,loc_year,median,mean,min,max,std,num_pixels
0,Randall Manor,A1,A,"POLYGON ((576202.5321004242 4499213.753170348, 576102.3459963963 4499165.811544473, 576115.2277637387 4499026.585929159, 575982.8236949043 4499001.204832922, 575990.4763663204 4498960.436273835, 576023.7679723373 4498948.161954177, 576032.0102692849 4498849.732422075, 576127.8142923356 4498857.319876636, 576134.8643895031 4498757.675606475, 576154.1407143062 4498700.805660498, 576166.5609724675 4498548.845438411, 576166.5520850812 4498548.845271737, 576165.3283457711 4498548.823736992, 576159.2388957799 4498548.716441364, 575961.7405801588 4498597.758386929, 575871.1394729018 4498611.851772966, 575735.9294503168 4498614.478841385, 575714.5999278729 4498895.591736271, 575680.6815680404 4499108.092151973, 576120.4944108652 4499231.967474432, 576202.5321004242 4499213.753170348))",NYStatenIsland1940,299.6072998046875,299.34906005859375,296.3106689453125,303.38934326171875,1.4766143560409546,253.0
1,Grymes Hill,A2,A,"POLYGON ((576939.5726076864 4496703.806284929, 576927.2188363972 4496654.006330998, 576880.2062383201 4496662.597089161, 576824.679701529 4496665.6290721, 576759.267514141 4496691.392754682, 576719.5344503429 4496683.772684498, 576707.8059449038 4496651.204577304, 576691.6978237163 4496575.327866348, 576666.6872029908 4496543.824307969, 576594.9392817938 4496481.795268882, 576527.4843008252 4496471.487325035, 576493.9049131828 4496451.913753835, 576459.2301038461 4496421.512907603, 576370.1221821303 4496404.97496962, 576374.2941055995 4496468.712357217, 576361.1058411088 4496813.479733909, 576371.3905742747 4496817.44226192, 576418.7843936064 4496835.70269283, 576565.693544903 4496744.679226489, 576654.518843789 4496671.0853724, 576651.9514649675 4496803.250121667, 576497.2984839345 4496943.46157934, 576529.8007755146 4497067.570151186, 576630.3255090725 4497028.948742987, 576691.6185103697 4497285.535893888, 576583.7732522708 4497332.491194298, 576833.845786021 4497647.489344389, 576932.3024580525 4497808.316739724, 577024.2270620598 4498017.136120312, 577047.8383527396 4498066.643319972, 577157.2933569979 4497980.065533655, 577077.7680862923 4497855.481587647, 577071.0541555382 4497804.946264238, 577103.1113815876 4497621.436006895, 577107.9786212571 4497151.64668538, 576921.7327971915 4496846.89175886, 576914.9794077319 4496799.954700861, 576918.0873334808 4496732.689665346, 576939.5726076864 4496703.806284929))",NYStatenIsland1940,300.0906982421875,300.5143127441406,297.60498046875,305.3113098144531,1.371877908706665,603.0
2,"Todt Hill, Emmerson Hill",A3,A,"POLYGON ((576032.8036276428 4495907.753049577, 576293.38782047 4495988.940234659, 576308.8893690526 4495989.302290511, 576598.9671799579 4495996.083923951, 576740.7620974131 4495895.786084092, 576753.3382315295 4495846.238205747, 576828.7067298552 4495791.728713804, 576872.9322358212 4495715.26379953, 576815.568371273 4495610.633119013, 576781.2722881583 4495582.234539941, 576731.5124406214 4495571.305004393, 576714.0983055815 4495543.881911957, 576708.9385085219 4495498.155254434, 576661.4877437833 4495419.139762068, 576616.0285652766 4495381.010750989, 576578.3135017854 4495215.552601805, 576414.4812903652 4495189.028825159, 576308.2248328325 4495195.952522963, 576296.5782293926 4495154.965688768, 576243.8270859072 4495121.571072984, 576177.6472669478 4495063.999285621, 576156.3308596171 4495024.515709875, 576151.9880172046 4494977.19212411, 576178.1623716705 4494934.988470547, 576238.0390142708 4494901.142971636, 576300.2144439919 4494878.540395516, 576344.4802686535 4494876.589928483, 576312.0587048554 4494821.765291437, 576161.9378736602 4494633.509219234, 576095.477124227 4494725.163528982, 576038.8230750444 4494659.97414231, 575907.6395355288 4494457.788219954, 575760.0403321165 4494237.400437482, 575759.4473294521 4494196.822335783, 575778.5598429695 4494146.927383151, 576065.6309805471 4493947.441787173, 576051.7075746643 4493945.367831853, 575980.4289760124 4493597.602948786, 575870.46569257 4493492.287950701, 575844.5902777222 4493455.095253192, 575799.3023101263 4493398.528819046, 575585.8063069655 4493187.16292752, 575579.5667964841 4493179.867224408, 575580.4452136847 4493242.547711054, 575563.2162186619 4493275.235576798, 575563.8745173921 4493369.019923898, 575529.685524268 4493407.947357141, 575518.0564412872 4493443.897341964, 575475.1308964818 4493392.165955679, 575391.3673436992 4493320.784750575, 575339.2659727321 4493301.021318623, 575317.4619959128 4493308.816144207, 575279.3353179503 4493419.0396688, 575234.3896751726 4493487.515103905, 575262.7165930145 4493630.466817327, 575297.0220079824 4493739.013111176, 575244.2986497132 4493940.449015561, 575278.0469743672 4494183.625950678, 575245.2745993828 4494162.457709405, 575195.0870153229 4494113.063759099, 575155.7975792971 4494099.844338478, 575124.3910354577 4494102.733356905, 575041.4125087149 4494273.401887303, 575041.3774325978 4494356.748291143, 575106.2542408616 4494385.451335217, 575165.0709565177 4494456.56776986, 575205.7443924817 4494571.577137531, 575192.3075009938 4494627.538112837, 575089.6385441581 4494676.989114947, 574992.7019100686 4494876.352898724, 574844.3798808656 4495066.381353156, 574842.9957332686 4495124.06302835, 575004.3161848383 4495160.944073013, 575040.3072669308 4495261.471102831, 575051.7635946958 4495401.814497854, 575093.4916441033 4495411.850674797, 575206.9241855582 4495570.047410402, 575388.7221623641 4495569.481878409, 575952.9183642772 4495538.356214685, 575955.6861833106 4495582.45489021, 575915.4745746636 4495660.569789214, 575894.3055041992 4495764.518449693, 575925.1907643244 4495812.107483034, 576012.3342054489 4495864.276728142, 576032.8036276428 4495907.753049577))",NYStatenIsland1940,300.07843017578125,299.92401123046875,295.5943298339844,304.5002746582031,1.9479461908340452,2817.0
3,Silver Lake,A4,A,"POLYGON ((576070.303364938 4497876.449159267, 576092.3021609823 4497780.562812716, 576114.8711439527 4497618.179714673, 576120.7021583414 4497441.202494283, 575968.3714924486 4497395.586345158, 575964.3317130703 4497318.640495884, 575796.0782980872 4497256.842769915, 575747.5697552882 4497281.984107621, 575659.1396884966 4497890.139927014, 575784.9911756619 4497905.098700754, 575804.8728979195 4497828.201612821, 576070.303364938 4497876.449159267))",NYStatenIsland1940,300.3470153808594,300.42596435546875,298.6165771484375,301.9469909667969,0.9371968507766724,235.0
4,West New Brighton,B1,B,"POLYGON ((574347.1189249876 4497719.751892855, 574301.2419339685 4497815.519091287, 574401.9238728107 4497860.035380105, 574514.401658835 4497909.769067395, 574615.5019415953 4497951.834558601, 574864.747300852 4497955.339435726, 575085.1083615983 4497993.158192855, 575267.6216241324 4498024.486539843, 575312.1639321734 4498043.480769556, 575592.9883894883 4498104.401805398, 575628.3731125098 4497886.483347739, 575659.1396884966 4497890.139927014, 575747.5697552882 4497281.984107621, 575796.0782980872 4497256.842769915, 575792.6736225879 4497117.335323297, 575737.2612284929 4497109.5612333, 575662.6551095698 4497091.177865533, 575583.4922070551 4497046.312026556, 575542.7976737894 4497014.65507608, 575451.3922666602 4496901.33603332, 575234.08383891 4497016.802329389, 575094.0062601246 4497200.14448106, 574926.6183033393 4497301.098066175, 574640.7245922593 4497441.419051307, 574359.2444969262 4497694.440313756, 574347.1189249876 4497719.751892855))",NYStatenIsland1940,302.25433349609375,302.23486328125,299.04754638671875,304.7338562011719,0.9904112219810486,1124.0
5,New Dorp,B10,B,"POLYGON ((574447.5317291138 4491522.682581246, 574227.9656474803 4491194.376719523, 574132.9138262253 4491283.225601994, 574097.2410610489 4491309.328137224, 574177.7728681068 4491385.490894486, 574091.9188857028 4491439.955832236, 573976.1473266986 4491508.555063558, 573922.8434521283 4491527.267367542, 574036.8803722835 4491795.361751345, 574026.5832988244 4491854.873099428, 574076.5440280192 4491888.939199069, 574264.9307937954 4491962.963016491, 574296.5634029016 4491934.713200604, 574328.6013195134 4491627.187922191, 574436.9814841816 4491533.267693249, 574447.5317291138 4491522.682581246))",NYStatenIsland1940,302.88079833984375,303.0721740722656,302.0675048828125,304.48809814453125,0.6457772850990295,228.0
6,Oakwood Heights,B11,B,"POLYGON ((573744.5824955648 4490593.955542167, 573898.8897677094 4490739.806067806, 573901.0486744603 4490785.930152145, 573918.3661353616 4490815.166394926, 573935.3691817623 4490825.357193372, 573943.2527941526 4490820.914236211, 573964.2048328437 4490809.106381039, 573993.9322824293 4490804.390130808, 574051.9439938185 4490889.653672578, 574083.8226345686 4490870.928130196, 574184.9074472055 4490873.937466476, 574246.912158742 4490861.024554769, 574287.4074864429 4490835.871107148, 574403.7317502768 4490723.277408017, 574454.7318056327 4490704.242691641, 574503.8550690771 4490671.659126764, 574550.6540440073 4490620.009741195, 574623.4758365208 4490582.151101711, 574654.1806917356 4490580.453887151, 574700.1194154894 4490544.531698818, 574403.6902983165 4490243.289014325, 574380.5113562767 4490267.113122432, 574175.5062472182 4490241.016414187, 574044.0051379657 4490351.566042476, 573744.5824955648 4490593.955542167))",NYStatenIsland1940,302.3750305175781,302.32537841796875,300.54302978515625,303.7181091308594,0.760040283203125,394.0
7,Great Kills,B12,B,"POLYGON ((571656.0083345901 4489046.622559797, 571870.580907176 4489076.349388812, 571944.1938001228 4489206.974906896, 571963.684400988 4489272.922040951, 572013.276058194 4489306.279922621, 572067.2252074466 4489305.196915994, 572180.0309457274 4489295.06022625, 572267.0310966223 4489289.486849326, 572386.2109650981 4489369.23158421, 572422.8194981415 4489412.89087352, 572597.3077192567 4489268.63483236, 572731.7324435384 4489105.544336766, 572818.931946363 4488997.327655803, 572894.6051005097 4488915.463058257, 572811.0733261454 4488823.595698801, 572619.6680228849 4488636.469069152, 572496.287017684 4488490.906735214, 572467.2188846397 4488499.446687512, 572378.681077259 4488579.591304617, 572319.0709665748 4488499.613655911, 572249.0899408006 4488575.929516952, 572230.4627682677 4488670.386170173, 572150.4218320049 4488704.899981237, 572014.9186885498 4488646.649056676, 572014.4618872835 4488610.554345615, 571990.3322698887 4488441.095829908, 571972.1945409206 4488401.621526138, 571895.72763131 4488399.280448117, 571638.5456820638 4488140.955526864, 571479.1545565177 4488336.356550165, 571487.7493187329 4488363.708036151, 571515.0144766732 4488375.197695058, 571521.9988853465 4488402.533654793, 571240.7949294727 4488761.550306542, 571360.7991029243 4488841.291507305, 571497.3833639163 4488954.875464254, 571634.202199424 4489043.601913358, 571656.0083345901 4489046.622559797))",NYStatenIsland1940,302.1453552246094,302.0775451660156,298.6318664550781,304.720947265625,1.1653262376785278,1110.0
8,Eltingville Beach,B13,B,"POLYGON ((571262.4049428839 4486966.528839123, 571289.2943722425 4486996.867265858, 571361.6114877373 4487013.601600901, 571452.7646351731 4487060.59835448, 571540.5896510729 4487139.650677137, 571582.1712280568 4487212.243610637, 571735.8201088803 4487040.249894588, 571666.0848076704 4486964.376021345, 571561.118747708 4486888.164286363, 571408.0467197358 4486789.432753393, 571262.4049428839 4486966.528839123))",NYStatenIsland1940,300.47918701171875,300.5125427246094,298.7635498046875,302.83270263671875,0.9527783393859864,87.0
9,Princewood,B14,B,"POLYGON ((567838.0687734827 4486439.838242879, 567833.873835474 4486448.082043467, 567788.8315324518 4486419.595165576, 567732.4042080645 4486536.408017544, 567687.4983923284 4486492.881707651, 567631.5984790907 4486662.844982447, 567617.0887956456 4486708.84002876, 567705.0485334299 4486777.82340062, 567885.4177549018 4486868.7040225, 567860.5407681924 4486947.692755842, 567856.0163257213 4486954.551763541, 567974.6614058717 4487002.58140331, 568054.475510809 4486860.120337949, 568080.0812226186 4486767.701220213, 568099.9558435035 4486707.717797244, 568051.6999761109 4486634.478097197, 567977.4567745238 4486562.806363771, 567838.0687734827 4486439.838242879))",NYStatenIsland1940,300.7296447753906,300.5793151855469,296.9463195800781,302.85675048828125,1.5645095109939575,175.0
