,source_file,holc_grade,loc_year,median,mean,min,max,std
0,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYC,0.163626795692835,0.16809390048729256,-0.03366418770747259,0.41195587534457445,0.08883440133649856
1,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYC,0.14953780599818048,0.15800443342757514,-0.0461713870948491,0.4374612940268384,0.09284621632347505
2,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYC,0.12858084081204008,0.13582616120764107,-0.060676853625823264,0.44052145910010765,0.08746092478749613
3,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYC,0.10741930854107652,0.11993506129883903,-0.062198484946480566,0.43092082904166534,0.09584903532341749
4,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,E,NYC,0.10212958604097366,0.1087200865149498,-0.079227514564991,0.5037893056869507,0.10888377577066423
0,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYBronx1938,0.35762612521648407,0.33542558550834656,0.0,0.5239278376102448,0.10490020364522933
1,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYBrooklyn1938,0.1553925722837448,0.1571458876132965,-0.08362574875354767,0.40196335315704346,0.0820535197854042
2,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYManhattan1937,0.019922230509109795,0.04022774344775826,-0.0754232108592987,0.32369756512343884,0.08155698631890118
3,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYQueens1938,0.2427445501089096,0.21544411778450007,-0.03894604369997978,0.40963736176490784,0.09498818963766098
4,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYStatenIsland1940,0.3363153785467148,0.3310598209500313,0.046832619002088904,0.5355642735958099,0.0955131035298109
0,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYBronx1938,0.1343979032032869,0.14742241461168637,-0.04101248280229894,0.4514580098065463,0.10246921195225282
1,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYBrooklyn1938,0.1023363378994605,0.10580291423727484,-0.06058749096358523,0.419674615649616,0.07995967829928678
2,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYManhattan1937,0.02223185372228424,0.06728702345086883,-0.07573309944321711,0.4222811224559943,0.12089475182195504
3,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYQueens1938,0.19514612327603734,0.19056795186856212,-0.048074560020776355,0.41156818936852846,0.07927545269622523
4,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYStatenIsland1940,0.26429073413213094,0.2605949093898137,-0.0078100333300729595,0.4888449271519979,0.09333546633521715
0,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYBronx1938,0.10662421738000019,0.12026015377562979,-0.07161688124356062,0.4837867565776991,0.10206958100847575
1,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYBrooklyn1938,0.06356006067246199,0.07541129596531392,-0.08551170527935029,0.4286833906173706,0.08116362363100052
2,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYManhattan1937,-0.015527555408577124,0.02746054041199386,-0.10898436109224956,0.3897535155216853,0.09504438750445843
3,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYQueens1938,0.13081290238948018,0.13511616323009,-0.05703943727856821,0.42284356795989714,0.08197405031538224
4,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYStatenIsland1940,0.24305639850596586,0.24405088213582835,-0.029069197092515726,0.5058424361050129,0.10350158003469308
0,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYBronx1938,0.09002108286534037,0.10755864956549235,-0.07571386811988694,0.48762974994523184,0.10276840095009122
1,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYBrooklyn1938,0.06692213257369788,0.08304360095897446,-0.07615783616252568,0.4370382505914439,0.09157301615113797
2,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYManhattan1937,0.0024251501869272303,0.026944028220087703,-0.08140767765817819,0.3375067468042727,0.07735839044606244
3,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYQueens1938,0.11769018317453372,0.1283381764227763,-0.054164034039832845,0.4252216556133368,0.09977069774117225
4,stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYStatenIsland1940,0.25904977775138355,0.25550788187462353,-0.035199468509982464,0.526867996091428,0.11307579440915067
0,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,A,NYC,0.10256652906537056,0.10593223560135812,-0.052775467454921454,0.3061927518574521,0.07142549037234858
1,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,B,NYC,0.08420992631646287,0.09410828020837572,-0.06231341019479765,0.3133758617332205,0.07404236608029653
2,stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,C,NYC,0.05359341903151107,0.0622259989535133,-0.07014292924265776,0.3153595062817826,0.06732728862001625
