,median,mean,min,max,std,num_pixels,pixel_frac,num_bounds,year_range
A,298.6720969126775,298.71155790182263,295.5479178795448,301.94829713381256,1.4056752428698998,740.5,0.9997650375939848,416,1984-1993
B,300.3744851951925,300.28985289223175,296.62699906438843,303.53885285467163,1.3687955618828025,1060.8194444444443,0.9905492794868094,1872,1984-1993
C,301.089157682995,301.0025855840783,297.1112555073467,304.2960082597262,1.3528676814871585,1304.7348145128415,0.9934475319903627,4906,1984-1993
D,301.0693890369,300.9827629049825,296.9005335377906,304.45716209609276,1.4501387052161985,1191.5974740932643,0.9816401375378817,3088,1984-1993
E,300.8755281888522,301.53790165827826,298.8632601224459,307.2722355769231,1.9255415292886586,725.0,1.0,26,1984-1993
A,298.04600979731634,298.052104142996,295.04580384034375,301.00437787862927,1.201002582979317,740.5,0.9997650375939848,416,1994-2002
B,299.5480358906281,299.4826695042798,296.0354348288642,302.3991020235241,1.1815936092335062,1060.8194444444443,0.9905492794868094,1872,1994-2002
C,300.4544966907264,300.3895871906323,296.7120950633082,303.31399158788344,1.0953191640188051,1304.8051418077944,0.9932906778458069,4901,1994-2002
D,300.53603707670163,300.48476172080694,296.7513117218512,303.7273706917012,1.2373757360023836,1192.344458846403,0.9817930450027484,3086,1994-2002
E,299.52423330453723,300.3561542217548,297.1579284667969,306.89068603515625,2.2777575025191674,725.0,1.0,26,1994-2002
A,299.524485096787,299.50824396538013,296.60121490016127,302.5685695879387,1.2246872809235796,740.5,0.9997650375939849,528,2003-2012
B,300.77648370916194,300.7260767233492,297.5152982975096,303.7841227624553,1.1785409513309046,1060.8194444444443,0.9905492794868083,2376,2003-2012
C,301.77027524379616,301.71045419981374,298.27589669716133,304.81583328577346,1.1192327699725093,1306.6560846560847,0.9957610129132689,6237,2003-2012
D,301.74183069223784,301.6962974942729,298.187001724962,305.1069903081083,1.2617683684100476,1189.8487394957983,0.9811494277188617,3927,2003-2012
E,301.55019586736506,302.5236927379261,299.0056845925071,310.98689686168325,2.667444276087212,725.0,1.0,33,2003-2012
