,median,mean,min,max,std,num_pixels,pixel_frac,num_bounds,year_range
A,0.14918176574596706,0.1537223145853484,-0.026713608383523442,0.37694815781791335,0.07860639090918434,723.6201923076923,0.9643671339857972,416,1984-1993
B,0.13069088463972495,0.13985036470538997,-0.04568866095341479,0.39338398301271466,0.08268079208657862,1030.133012820513,0.9658499125675226,1872,1984-1993
C,0.10697002134343198,0.11365869864845023,-0.05778628988052907,0.38585404940745865,0.07592232394838212,1272.0214023644517,0.9675425383500807,4906,1984-1993
D,0.08778617929430105,0.09902922082453577,-0.06323544065983001,0.38177274245751286,0.08349183711075776,1149.2079689018465,0.9488132784514701,3087,1984-1993
E,0.09429569735836524,0.0980808841637694,-0.06925362577805153,0.42419578708135164,0.09384541270824578,703.1153846153846,0.9698143236074274,26,1984-1993
A,0.15755993254200662,0.16264203972010505,-0.028570771116602164,0.40078252378869084,0.08331542507781145,725.7596153846154,0.9682097381196384,416,1994-2002
B,0.13224923376239733,0.14262782708980812,-0.04890437354408324,0.4088054158686039,0.08697096729933675,1033.4375,0.9690873465778381,1872,1994-2002
C,0.10364125327409907,0.11088793701927531,-0.06246718175430288,0.39480809818317064,0.07760583532210595,1274.3354417465823,0.9695592341476976,4901,1994-2002
D,0.08288776639991392,0.09517282410206433,-0.06977883298496268,0.3941338342268621,0.08754755658588274,1153.3334413480234,0.9517134215138502,3086,1994-2002
E,0.09955804891741046,0.10105578189429182,-0.07319553024493732,0.41902285986221754,0.09959615093584244,709.2307692307693,0.9782493368700265,26,1994-2002
